time,gFx,gFy,gFz,TgF
0.607797344,0.0686,0.5887,1.2261,1.362
0.610949479,0.0496,0.5907,1.1923,1.332
0.613015469,0.0418,0.5995,1.1723,1.317
0.615309427,0.0300,0.6083,1.1469,1.299
0.618117969,0.0330,0.6146,1.1147,1.273
0.620444375,0.0134,0.6122,1.0882,1.249
0.623339011,0.0110,0.6107,1.0585,1.222
0.624935469,0.0125,0.6078,1.0267,1.193
0.627181875,0.0168,0.6014,0.9974,1.165
0.630049583,0.0188,0.5946,0.9676,1.136
0.632544948,0.0193,0.5883,0.9475,1.115
0.641449583,0.0237,0.5878,0.9305,1.101
0.642316979,0.0227,0.5936,0.9114,1.088
0.642662865,0.0183,0.5828,0.8928,1.066
0.643191875,0.0222,0.5863,0.8752,1.054
0.645645052,0.0251,0.5931,0.8547,1.041
0.647991771,0.0232,0.5873,0.8386,1.024
0.658150052,0.0198,0.5917,0.8098,1.003
0.658897604,0.0154,0.5912,0.8029,0.997
0.659144375,0.0154,0.5956,0.7711,0.974
0.659391719,0.0159,0.5951,0.7560,0.962
0.660142865,0.0081,0.5980,0.7272,0.942
0.662856563,0.0095,0.6005,0.7086,0.929
0.665777604,0.0120,0.6049,0.7101,0.933
0.66815974,0.0042,0.5990,0.7042,0.925
0.670812813,0.0071,0.6039,0.7072,0.930
0.673544167,0.0144,0.5946,0.7135,0.929
0.674896771,0.0203,0.5887,0.7116,0.924
0.677802083,0.0266,0.5892,0.7243,0.934
0.680070156,0.0330,0.5814,0.7213,0.927
0.683520729,0.0325,0.5731,0.7311,0.929
0.685773073,0.0471,0.5628,0.7453,0.935
0.688125469,0.0588,0.5530,0.7580,0.940
0.690091771,0.0515,0.5521,0.7575,0.939
0.692506927,0.0491,0.5413,0.7706,0.943
0.695140573,0.0530,0.5320,0.7824,0.948
0.697629115,0.0403,0.5242,0.7887,0.948
0.701452552,0.0208,0.5115,0.7916,0.943
0.703943646,0.0149,0.5164,0.7941,0.947
0.706195052,0.0081,0.4915,0.8000,0.939
0.708441094,-0.0013,0.4979,0.7912,0.935
0.710621458,0.0222,0.5433,0.8093,0.975
0.712760261,-0.0018,0.5340,0.7916,0.955
0.715449583,-0.0164,0.5159,0.7780,0.934
0.718036042,-0.0267,0.5042,0.7526,0.906
0.720191406,-0.0267,0.4856,0.7467,0.891
0.723313229,-0.0306,0.4778,0.7247,0.869
0.724657708,-0.0184,0.4656,0.7145,0.853
0.727320625,-0.0218,0.4372,0.6807,0.809
0.729860729,-0.0247,0.4118,0.6524,0.772
0.732285,-0.0379,0.3977,0.6221,0.739
0.737142188,-0.0369,0.3772,0.6002,0.710
0.738034896,-0.0360,0.3855,0.5870,0.703
0.739925521,-0.0242,0.3938,0.5684,0.692
0.74235,-0.0154,0.4075,0.5435,0.679
0.748514583,-0.0076,0.4280,0.5078,0.664
0.749813333,-0.0018,0.4338,0.4785,0.646
0.756509896,0.0066,0.4465,0.4379,0.625
0.757632083,0.0115,0.4704,0.4037,0.620
0.757979115,0.0256,0.4832,0.3818,0.616
0.758300469,0.0388,0.4959,0.3543,0.611
0.759805208,0.0476,0.4998,0.3358,0.604
0.762262604,0.0559,0.4964,0.3192,0.593
0.764777344,0.0774,0.4959,0.2894,0.579
0.767242917,0.0974,0.4900,0.2860,0.576
0.76977974,0.1018,0.4793,0.2752,0.562
0.772372031,0.0872,0.5291,0.3114,0.620
0.775117604,0.0872,0.5145,0.2747,0.590
0.777391406,0.0960,0.5003,0.2473,0.566
0.779891823,0.0877,0.4915,0.2229,0.547
0.782583906,0.0935,0.4729,0.1926,0.519
0.7852775,0.0886,0.4680,0.1721,0.506
0.787362708,0.0833,0.4538,0.1438,0.483
0.790491042,0.0901,0.4519,0.1296,0.479
0.792381823,0.0803,0.4436,0.1042,0.463
0.794592865,0.0662,0.4348,0.0891,0.449
0.798238542,0.0481,0.4670,0.0993,0.480
0.801463906,0.0378,0.4719,0.0734,0.479
0.803210729,0.0251,0.4631,0.0646,0.468
0.805515938,0.0237,0.4548,0.0441,0.458
0.808132656,0.0159,0.4514,0.0241,0.452
0.81000625,0.0027,0.4411,0.0148,0.441
0.81268526,-0.0081,0.4411,0.0074,0.441
0.81482401,-0.0091,0.4333,-0.0126,0.434
0.818124375,-0.0301,0.4255,-0.0243,0.427
0.82034349,-0.0408,0.4299,-0.0350,0.433
0.823210729,-0.0394,0.4319,-0.0448,0.436
0.824085365,-0.0618,0.4382,-0.0502,0.445
0.82726901,-0.0755,0.4499,-0.0375,0.458
0.829736615,-0.0823,0.4714,-0.0306,0.480
0.832153542,-0.0980,0.4847,-0.0287,0.495
0.839575781,-0.1063,0.4939,-0.0136,0.505
0.841050573,-0.1117,0.5247,0.0016,0.536
0.841553229,-0.1088,0.5291,0.0055,0.540
0.842505833,-0.0960,0.5457,0.0123,0.554
0.845078385,-0.0950,0.5530,0.0367,0.562
0.847792083,-0.0794,0.5486,0.0480,0.556
0.85601974,-0.0745,0.5521,0.0681,0.561
0.856744115,-0.0623,0.5501,0.0827,0.560
0.857112917,-0.0472,0.5403,0.0959,0.551
0.857338646,-0.0369,0.5467,0.1115,0.559
0.859501146,-0.0203,0.5359,0.1281,0.551
0.862288125,0.0027,0.5472,0.1457,0.566
0.864483177,0.0100,0.5638,0.1379,0.580
0.86722776,0.0027,0.5775,0.1330,0.593
0.869855313,0.0144,0.5555,0.1355,0.572
0.872042031,0.0227,0.5457,0.1457,0.565
