time,gFx,gFy,gFz,TgF
1.213310573,-0.0277,0.1475,1.0834,1.094
1.215376406,-0.0179,0.1445,1.1132,1.123
1.217870052,-0.0052,0.1524,1.1279,1.138
1.221096927,0.0032,0.1524,1.1489,1.159
1.223906666,0.0100,0.1617,1.1547,1.166
1.225977083,0.0149,0.1656,1.1596,1.171
1.228565573,0.0178,0.1685,1.1542,1.167
1.230476198,0.0183,0.1671,1.1640,1.176
1.232505573,0.0149,0.1666,1.1689,1.181
1.234876562,0.0159,0.1739,1.1645,1.178
1.237379323,0.0164,0.1739,1.1757,1.189
1.240576875,0.0066,0.1729,1.1899,1.202
1.243670989,0.0037,0.1622,1.2050,1.216
1.245773802,0.0061,0.1720,1.2143,1.226
1.247774062,-0.0091,0.1729,1.2319,1.244
1.250698646,-0.0233,0.1715,1.2314,1.244
1.252481458,-0.0237,0.1685,1.2378,1.249
1.255125,-0.0320,0.1641,1.2358,1.247
1.257884375,-0.0423,0.1671,1.2456,1.257
1.259905416,-0.0501,0.1632,1.2476,1.259
1.26270927,-0.0589,0.1602,1.2505,1.262
1.264890781,-0.0672,0.1558,1.2451,1.257
1.267183333,-0.0701,0.1475,1.2622,1.273
1.269627031,-0.0716,0.1524,1.2651,1.276
1.27215552,-0.0892,0.1338,1.2617,1.272
1.275336614,-0.0936,0.1309,1.2700,1.280
1.278278802,-0.0897,0.1245,1.2681,1.277
1.280866927,-0.1112,0.1167,1.2622,1.272
1.283236562,-0.1268,0.1211,1.2642,1.276
1.285056927,-0.1298,0.1182,1.2593,1.271
1.287435781,-0.1386,0.1177,1.2583,1.271
1.290828333,-0.1449,0.1157,1.2451,1.259
1.292670312,-0.1591,0.1235,1.2295,1.246
1.295139583,-0.1684,0.1196,1.2329,1.250
1.297538541,-0.1679,0.1314,1.2290,1.247
1.29977901,-0.1835,0.1289,1.2197,1.240
1.302060729,-0.1962,0.1465,1.2192,1.244
1.304706875,-0.1908,0.1377,1.2079,1.231
1.307588125,-0.1962,0.1480,1.2109,1.236
1.310473698,-0.1977,0.1587,1.2094,1.236
1.31238901,-0.2011,0.1641,1.2050,1.233
1.31474776,-0.1967,0.1685,1.2089,1.236
1.317204948,-0.1947,0.1666,1.1982,1.225
1.319532135,-0.1967,0.1700,1.1855,1.214
1.322693073,-0.1923,0.1676,1.1933,1.220
1.32454776,-0.1859,0.1734,1.1816,1.209
1.327297812,-0.1742,0.1754,1.1879,1.213
1.329894895,-0.1620,0.1763,1.1884,1.212
1.332147708,-0.1522,0.1832,1.1884,1.212
